channelid,last_30_views,subscriber_lifetime,views_lifetime,life_uploads,catid,category,View_range,upload_range,sub_range,last_30_eng
UC2V-aeLWtfLEUYp4cE9G33g,35,1465,31672,44,10,Music,high,low,medium,3
UC2WcnvVV543XYHtk1pGUv6Q,3300,5997,99739,18,27,Education,low,low,medium,6
UC2X5JecqjMbQBfmvT22x1_Q,119,1448,72767,106,27,Education,high,low,medium,1
UC2YXO0ANVHeYVOK-_287MnQ,260,2154,285082,83,10,Music,high,low,medium,4
UC2YyibL61HZl68aflFknUTA,2302,9568,687283,8,10,Music,low,low,medium,5
UC2ZzJB4rGc_TiRiRVoUc56w,128,1405,3566,8,22,People & Blogs,medium,low,medium,1
UC2_HOymbofBw068NBrPy0cA,3145,85988,6831450,199,28,Science & Technology,medium,low,medium,1
UC2cSla2HGuYmIEC9zbGLt_A,2043,65361,12773798,22,10,Music,high,low,medium,1
UC2cfJZ-gQBZzLPckzTZlZSw,54233,358065,19702065,568,28,Science & Technology,high,low,high,15
UC2eZdoh8mWLbqfd4AxxEI2w,1299,82789,38692621,1062,1,Film & Animation,high,medium,medium,35
UCBCAwAvOj3K8DFR7_eVqvFA,22310,246783,34040592,740,10,Music,high,low,high,57
UCBCepwlxBjf2DttT0IXMOog,17028,127593,26604664,104,22,People & Blogs,high,low,high,12
UCBCh9kd1VyJEdP6gzc7Kv6w,7815,105585,21989404,211,10,Music,high,low,high,1
UCBDppYqUutAQ1B4gaqRhTTg,12604,175969,24677826,835,24,Entertainment,high,low,high,35
UCBEGs70FtNUAlzcJYI9Xx0g,11379,13469,2843208,108,17,Sports,medium,low,medium,7
UCBEsSe7YM5pOFj6cj7hJ2PA,164,24765,6807242,491,24,Entertainment,medium,low,medium,7
